task,source,query,query_step,matched_source_step,diverge_step,reason_class,command_excerpt
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-182909,biofabric-rust-rewrite-20260901-183348-f6b03654,4,1,2,safe_read,grep -R -nE 'todo!\(\)|unimplemented' crates/core/src crates/cli/src crates/core/tests/parity_tests/runners.rs; sed -n '
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-182909,biofabric-rust-rewrite-20260901-183422-298ee0c3,2,1,2,safe_read,grep -RInE 'todo!|unimplemented!|TODO' crates/core/src crates/cli/src crates/core/tests/parity_tests/runners.rs || true;
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-182909,biofabric-rust-rewrite-20260901-183422-298ee0c3,3,1,2,safe_read,grep -RInE 'todo!|unimplemented!|TODO' crates/core/src crates/cli/src crates/core/tests/parity_tests/runners.rs || true;
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183348-f6b03654,biofabric-rust-rewrite-20260901-183422-298ee0c3,2,1,2,safe_read,grep -RInE 'todo!|unimplemented!|TODO' crates/core/src crates/cli/src crates/core/tests/parity_tests/runners.rs || true;
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183348-f6b03654,biofabric-rust-rewrite-20260901-183422-298ee0c3,3,1,2,safe_read,grep -RInE 'todo!|unimplemented!|TODO' crates/core/src crates/cli/src crates/core/tests/parity_tests/runners.rs || true;
biofabric-rust-rewrite,biofabric-rust-rewrite-20260901-183422-298ee0c3,biofabric-rust-rewrite-20260901-183348-f6b03654,4,1,2,safe_read,grep -R -nE 'todo!\(\)|unimplemented' crates/core/src crates/cli/src crates/core/tests/parity_tests/runners.rs; sed -n '
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-182955,jax-pytorch-rewrite-20260901-183453-811031fb,2,1,2,other,for f in src/paldea_lab/model_optimized.py src/paldea_lab/charizard_torch.py src/paldea_lab/mewtwo_jax.py src/paldea_lab
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-182955,jax-pytorch-rewrite-20260901-183453-811031fb,3,1,2,other,for f in src/paldea_lab/model_optimized.py src/paldea_lab/charizard_torch.py src/paldea_lab/mewtwo_jax.py src/paldea_lab
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183429-fc340c07,jax-pytorch-rewrite-20260901-183453-811031fb,2,1,2,other,for f in src/paldea_lab/model_optimized.py src/paldea_lab/charizard_torch.py src/paldea_lab/mewtwo_jax.py src/paldea_lab
jax-pytorch-rewrite,jax-pytorch-rewrite-20260901-183429-fc340c07,jax-pytorch-rewrite-20260901-183453-811031fb,3,1,2,other,for f in src/paldea_lab/model_optimized.py src/paldea_lab/charizard_torch.py src/paldea_lab/mewtwo_jax.py src/paldea_lab
kubernetes-rust-rewrite,kubernetes-rust-rewrite-20260901-182909,kubernetes-rust-rewrite-20260901-183348-25f97c19,2,1,2,safe_read,find crates -type f -path '*/src/*' -print | sort; echo '--- sizes ---'; find crates -type f -name '*.rs' -exec wc -l {}
kubernetes-rust-rewrite,kubernetes-rust-rewrite-20260901-182909,kubernetes-rust-rewrite-20260901-183348-25f97c19,3,1,2,safe_read,find crates -type f -path '*/src/*' -print | sort; echo '--- sizes ---'; find crates -type f -name '*.rs' -exec wc -l {}
kubernetes-rust-rewrite,kubernetes-rust-rewrite-20260901-182909,kubernetes-rust-rewrite-20260901-183348-25f97c19,4,1,2,safe_read,find crates -type f -path '*/src/*' -print | sort; echo '--- sizes ---'; find crates -type f -name '*.rs' -exec wc -l {}
ruby-rust-port,ruby-rust-port-20260901-183441-5baee8b8,ruby-rust-port-20260901-183519-e9a0c320,3,1,2,safe_read,"echo '--- Cargo.toml'; sed -n '1,220p' Cargo.toml; echo '--- src/main.rs'; sed -n '1,260p' src/main.rs; echo '--- start."
ruby-rust-port,ruby-rust-port-20260901-183441-5baee8b8,ruby-rust-port-20260901-183519-e9a0c320,4,1,2,safe_read,"echo '--- Cargo.toml'; sed -n '1,220p' Cargo.toml; echo '--- src/main.rs'; sed -n '1,260p' src/main.rs; echo '--- start."
ruby-rust-port,ruby-rust-port-20260901-183519-e9a0c320,ruby-rust-port-20260901-183441-5baee8b8,4,1,2,safe_read,"sed -n '1,260p' /app/src/main.rs; echo '---CARGO---'; sed -n '1,160p' /app/Cargo.toml; echo '---APP---'; sed -n '1,300p'"
slack-clone,slack-clone-20260904-091312,slack-clone-20260904-091800-cc597f4a,1,1,1,safe_read,pwd; bash /app/timer.sh; rg --files /app | head -80
slack-clone,slack-clone-20260904-091312,slack-clone-20260904-091800-cc597f4a,2,1,1,safe_read,pwd; bash /app/timer.sh; rg --files /app | head -80
slack-clone,slack-clone-20260904-091800-cc597f4a,slack-clone-20260904-091312,1,1,1,safe_read,"ls -la /app/ 2>/dev/null && echo ""---"" && cat /app/start.sh 2>/dev/null; echo ""---""; bash /app/timer.sh 2>/dev/null"
slack-clone,slack-clone-20260904-091800-cc597f4a,slack-clone-20260904-091312,2,1,1,safe_read,"ls -la /app/ 2>/dev/null && echo ""---"" && cat /app/start.sh 2>/dev/null; echo ""---""; bash /app/timer.sh 2>/dev/null"
slack-clone,slack-clone-20260904-091800-cc597f4a,slack-clone-20260904-091312,3,1,1,safe_read,"ls -la /app/ 2>/dev/null && echo ""---"" && cat /app/start.sh 2>/dev/null; echo ""---""; bash /app/timer.sh 2>/dev/null"
slack-clone,slack-clone-20260904-091800-cc597f4a,slack-clone-20260904-091312,4,1,1,safe_read,"ls -la /app/ 2>/dev/null && echo ""---"" && cat /app/start.sh 2>/dev/null; echo ""---""; bash /app/timer.sh 2>/dev/null"
